depth_from_entrance_A,fraction_PN1,fraction_PN2,fraction_PC1,fraction_PC2
40.04,0.255,0.000,0.226,0.519
40.17,0.272,0.000,0.221,0.507
40.31,0.290,0.000,0.216,0.495
40.46,0.307,0.000,0.211,0.483
40.60,0.325,0.000,0.204,0.471
40.74,0.341,0.000,0.199,0.460
40.89,0.354,0.000,0.195,0.451
41.02,0.368,0.000,0.192,0.441
41.16,0.379,0.000,0.190,0.431
41.29,0.388,0.000,0.191,0.422
41.42,0.396,0.000,0.193,0.411
41.56,0.403,0.000,0.196,0.401
41.69,0.408,0.000,0.199,0.393
41.82,0.414,0.000,0.202,0.384
41.95,0.421,0.000,0.206,0.373
42.08,0.428,0.000,0.211,0.361
42.21,0.434,0.000,0.216,0.350
42.34,0.441,0.000,0.222,0.338
42.48,0.446,0.000,0.228,0.326
42.62,0.450,0.000,0.235,0.314
42.76,0.454,0.000,0.243,0.302
42.90,0.459,0.000,0.252,0.290
43.03,0.462,0.000,0.261,0.277
43.16,0.464,0.000,0.271,0.265
43.28,0.464,0.000,0.283,0.253
43.40,0.463,0.000,0.294,0.243
43.51,0.462,0.000,0.306,0.232
43.62,0.459,0.000,0.318,0.223
43.72,0.457,0.000,0.329,0.214
43.82,0.454,0.000,0.341,0.205
43.92,0.451,0.000,0.354,0.196
44.05,0.449,0.000,0.364,0.187
44.18,0.447,0.000,0.374,0.179
44.31,0.447,0.000,0.382,0.171
44.45,0.448,0.000,0.388,0.163
44.59,0.450,0.000,0.394,0.156
44.73,0.453,0.000,0.400,0.148
44.86,0.454,0.000,0.406,0.139
44.99,0.456,0.000,0.413,0.131
45.12,0.457,0.000,0.418,0.124
45.23,0.458,0.000,0.423,0.118
45.33,0.460,0.000,0.427,0.112
45.44,0.462,0.000,0.431,0.106
45.56,0.465,0.000,0.436,0.100
45.67,0.467,0.001,0.439,0.093
45.77,0.470,0.001,0.441,0.088
45.86,0.472,0.002,0.443,0.083
45.95,0.475,0.003,0.444,0.078
46.05,0.478,0.003,0.444,0.074
46.17,0.482,0.004,0.443,0.071
46.28,0.485,0.005,0.441,0.069
46.40,0.489,0.006,0.439,0.066
46.51,0.491,0.008,0.437,0.063
46.62,0.494,0.011,0.435,0.060
46.77,0.497,0.013,0.434,0.056
46.91,0.498,0.016,0.433,0.053
47.06,0.499,0.020,0.432,0.049
47.19,0.500,0.024,0.431,0.045
47.32,0.500,0.028,0.431,0.041
47.45,0.500,0.031,0.431,0.037
47.59,0.500,0.035,0.431,0.034
47.71,0.500,0.039,0.431,0.031
47.83,0.499,0.042,0.430,0.028
47.96,0.499,0.046,0.429,0.026
48.08,0.498,0.050,0.428,0.024
48.20,0.496,0.055,0.427,0.022
48.33,0.493,0.060,0.428,0.020
48.46,0.489,0.064,0.429,0.018
48.58,0.484,0.070,0.429,0.016
48.71,0.480,0.076,0.430,0.015
48.84,0.474,0.082,0.431,0.013
48.96,0.468,0.088,0.431,0.012
49.09,0.462,0.095,0.432,0.011
49.21,0.456,0.102,0.433,0.009
49.34,0.449,0.109,0.434,0.008
49.46,0.442,0.117,0.435,0.006
49.61,0.435,0.125,0.435,0.005
49.75,0.428,0.132,0.436,0.004
49.89,0.421,0.140,0.437,0.002
50.04,0.413,0.148,0.437,0.001
50.17,0.407,0.156,0.437,0.001
50.30,0.400,0.163,0.437,0.000
50.44,0.392,0.170,0.438,0.000
50.57,0.383,0.177,0.440,0.000
50.69,0.374,0.185,0.441,0.000
50.81,0.363,0.194,0.443,0.000
50.94,0.352,0.203,0.445,0.000
51.06,0.341,0.212,0.447,0.000
51.20,0.328,0.222,0.450,0.000
51.35,0.314,0.232,0.454,0.000
51.49,0.300,0.243,0.457,0.000
51.64,0.286,0.255,0.459,0.000
51.79,0.272,0.268,0.461,0.000
51.93,0.259,0.278,0.463,0.000
52.08,0.246,0.290,0.464,0.000
52.23,0.233,0.302,0.466,0.000
52.38,0.219,0.313,0.467,0.000
52.52,0.206,0.324,0.469,0.000
52.66,0.193,0.335,0.472,0.000
52.80,0.181,0.345,0.474,0.000
52.94,0.169,0.356,0.476,0.000
53.09,0.156,0.367,0.477,0.000
53.23,0.145,0.377,0.478,0.000
53.35,0.133,0.387,0.479,0.000
53.46,0.122,0.398,0.480,0.000
53.58,0.111,0.408,0.481,0.000
53.70,0.100,0.418,0.482,0.000
53.83,0.090,0.428,0.482,0.000
53.96,0.080,0.439,0.481,0.000
54.10,0.070,0.449,0.481,0.000
54.23,0.062,0.458,0.480,0.000
54.37,0.055,0.466,0.479,0.000
54.51,0.048,0.475,0.477,0.000
54.65,0.043,0.482,0.475,0.000
54.78,0.039,0.489,0.472,0.000
54.91,0.036,0.494,0.470,0.000
55.04,0.034,0.498,0.468,0.000
55.16,0.032,0.502,0.467,0.000
55.29,0.030,0.506,0.464,0.000
55.39,0.028,0.509,0.463,0.000
55.50,0.027,0.511,0.462,0.000
55.60,0.026,0.512,0.462,0.000
55.70,0.025,0.513,0.462,0.000
55.80,0.024,0.515,0.461,0.000
55.91,0.023,0.515,0.461,0.000
56.04,0.022,0.516,0.462,0.000
56.17,0.022,0.515,0.464,0.000
56.30,0.021,0.513,0.466,0.000
56.43,0.020,0.511,0.468,0.000
56.57,0.020,0.510,0.470,0.000
56.71,0.019,0.509,0.472,0.000
56.84,0.019,0.507,0.475,0.000
56.98,0.018,0.505,0.477,0.000
57.12,0.018,0.502,0.480,0.000
57.26,0.017,0.499,0.484,0.000
57.40,0.016,0.497,0.487,0.000
57.54,0.016,0.494,0.490,0.000
57.69,0.015,0.492,0.493,0.000
57.83,0.015,0.490,0.495,0.000
57.95,0.014,0.488,0.498,0.000
58.07,0.014,0.487,0.500,0.000
58.19,0.013,0.485,0.502,0.000
58.32,0.012,0.483,0.505,0.000
58.44,0.012,0.480,0.508,0.000
58.56,0.011,0.478,0.511,0.000
58.69,0.010,0.476,0.514,0.000
58.81,0.009,0.475,0.516,0.000
58.93,0.008,0.474,0.518,0.000
59.02,0.007,0.474,0.520,0.000
59.12,0.007,0.473,0.520,0.000
59.22,0.007,0.473,0.520,0.000
59.35,0.007,0.474,0.519,0.000
59.49,0.007,0.476,0.518,0.000
59.64,0.008,0.477,0.515,0.000
59.78,0.010,0.478,0.512,0.000
59.88,0.011,0.480,0.509,0.000
59.98,0.013,0.482,0.505,0.000
60.08,0.016,0.484,0.501,0.000
60.18,0.018,0.486,0.496,0.000
60.28,0.021,0.488,0.491,0.000
60.40,0.023,0.492,0.486,0.000
60.52,0.024,0.495,0.480,0.000
60.64,0.026,0.501,0.473,0.000
60.76,0.027,0.506,0.467,0.000
60.88,0.028,0.511,0.461,0.000
61.00,0.028,0.517,0.455,0.000
61.12,0.028,0.523,0.449,0.000
61.24,0.028,0.530,0.442,0.000
61.37,0.029,0.532,0.439,0.000
61.50,0.031,0.535,0.434,0.000
61.63,0.032,0.538,0.430,0.000
61.75,0.034,0.542,0.425,0.000
61.88,0.035,0.545,0.420,0.000
62.01,0.037,0.549,0.414,0.000
62.13,0.037,0.553,0.410,0.000
62.27,0.038,0.557,0.405,0.000
62.40,0.039,0.561,0.400,0.000
62.53,0.039,0.565,0.396,0.000
62.67,0.039,0.569,0.392,0.000
62.80,0.038,0.574,0.388,0.000
